output_metric,2026-04-09 21:05:31 +0200,2026-04-09 22:34:32 +0200,2026-04-10 17:23:06 +0200,2026-04-14 15:44:39,2026-04-17 15:06:07 +0200,2026-04-28 21:39:05,2026-05-01 17:43:24,2026-05-02 18:15:31,2026-05-03 18:54:03,2026-05-04 16:18:34,2026-05-08 20:10:10,2026-05-09 18:18:33,2026-05-13 16:06:12,2026-05-14 17:56:12,2026-05-15 15:55:36,2026-05-16 17:49:15
pair,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD
total_return_pct,-0.0,-31.96,-1.38,8.53,-18.21,-2.61,-12.05,-37.5,-30.31,-41.16,-47.76,-47.0,-20.28,-32.09,-57.71,-61.08
ann_sharpe_ratio,-4.2256,4.3926,1.0108,0.4515,-0.8896,-0.1262,-0.6826,-2.2759,-1.8402,-2.5949,-3.5615,-3.8966,-0.908,-2.0357,-4.3338,-4.7451
max_drawdown_pct,0.0,34.86,38.63,10.42,24.5,12.64,16.34,38.53,30.31,42.67,48.86,48.24,27.25,32.21,57.71,61.08
calmar_ratio,-0.0267,-2.2499,-0.0186,0.4165,-0.4046,-0.1081,-0.3946,-0.5622,-0.5642,-0.5642,-0.5858,-0.5823,-0.3818,-0.5309,-0.591,-0.6009
oos_bars,1406466,91071,698721,698721,698721,698721,698721,698721,698721,698721,698721,698721,748723,748723,748723,748723
folds_reported,45,3,22,22,22,22,22,22,22,22,22,22,24,24,24,24
trades_reported,,1395,14869,1820,1249,2469,5043,5120,4418,5596,8118,8100,7164,4892,8941,7862
sell_pct_reported,,53.8,58.5,58.4,53.1,41.9,55.3,48.1,48.3,44.9,32.6,39.3,43.9,27.6,33.1,32.4
flat_pct_reported,,0.0,0.3,0.4,0.6,20.0,13.9,12.6,23.1,20.5,27.1,33.1,15.9,55.5,49.9,51.2
buy_pct_reported,,46.2,41.2,41.2,46.3,38.1,30.8,39.3,28.5,34.6,40.3,27.6,40.2,16.9,17.0,16.4
folds_completed_in_log,,,,10,22,22,22,22,22,22,22,22,24,24,24,24
avg_fold_return_pct,,,,0.37,-0.86,-0.10,-0.56,-2.07,-1.57,-2.30,-2.82,-2.80,-0.87,-1.56,-3.49,-3.8
median_fold_return_pct,,,,0.82,-0.60,0.00,-0.51,-2.76,-0.40,-1.79,-4.18,-3.03,-0.91,-1.31,-3.32,-3.17
worst_fold_return_pct,,,,-7.03,-10.43,-3.69,-3.83,-6.56,-10.76,-12.17,-8.31,-9.07,-9.84,-6.3,-9.13,-9.48
best_fold_return_pct,,,,5.41,6.47,4.79,3.68,4.27,2.39,4.03,9.48,2.40,4.59,5.71,1.59,1.97
avg_trades_per_fold,,,,106.3,57.3,112.4,229.4,233.0,201.1,254.8,369.1,368.2,298.6,203.8,372.4,327.5
max_trades_per_fold,,,,189,144,539,614,540,569,869,836,685,898,622,576,561
avg_turnover,,,,0.0034,0.0018,0.0036,0.0073,0.0074,0.0065,0.0080,0.0116,0.0116,0.0096,0.0065,0.0120,0.0105
