parameter,2026-04-09 18:16:04 +0200,2026-04-09 22:34:32 +0200,2026-04-10 10:35:52 +0200,2026-04-10 17:23:06 +0200,2026-04-12 21:10:47 +0200,2026-04-13 18:31:02 +0200,2026-04-14 10:34:03 +0200,2026-04-17 15:06:07 +0200,2026-04-26 18:36:32 +0200,2026-04-27 19:23:04 +0200,2026-04-28 21:39:05,2026-05-01 17:43:24
agent.build_agent.batch_size,64,64,64,64,128,128,128,256,128,128,128,128
agent.build_agent.clip_range,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2
agent.build_agent.device,'auto','auto','auto','auto','auto','auto','auto','cuda','cuda','cuda','cuda','cuda'
agent.build_agent.ent_coef,0.01,0.05,0.05,0.02,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.02
agent.build_agent.ent_coef_final,,,,,,,,,,,0.005,0.01
agent.build_agent.final_lr,,,,,,,,,,,,0.0001
agent.build_agent.gae_lambda,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
agent.build_agent.gamma,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
agent.build_agent.initial_lr,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001
agent.build_agent.lstm_hidden_size,128,128,128,128,128,128,128,256,128,128,64,64
agent.build_agent.n_epochs,10,10,10,10,10,10,10,10,10,10,10,10
agent.build_agent.n_lstm_layers,1,1,1,1,1,1,1,1,1,1,2,2
agent.build_agent.n_steps,2048,2048,2048,2048,4096,4096,4096,8192,4096,4096,2048,8192
agent.build_agent.policy_kwargs,None,None,None,None,None,None,None,None,None,None,None,None
agent.build_agent.seed,42,42,42,42,42,42,42,42,42,42,42,42
env.__init__.drawdown_penalty,,,,,,0.0,0.0,1.0,0.5,0.5,0.5,1.0
env.__init__.turnover_penalty,,,,,,,,,,,0.25,0.25
env.__init__.episode_length,None,None,None,None,None,None,None,20160,20160,20160,20160,20160
env.__init__.eta,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
env.__init__.initial_balance,100000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
env.__init__.lot_size,,,,,,,,1000.0,1000.0,1000.0,1000.0,1000.0
